node	length
800	1
801	1
802	1
803	1
804	3
805	1
806	1
807	1
808	1
809	1
810	1
811	1
812	1
813	1
814	3
815	1
816	1
817	1
818	1
819	1
820	5
821	4
822	1
823	8
824	3
825	9
826	1
827	2
828	2
829	1
830	1
831	1
832	17
833	111
834	2
835	4
836	30
837	307
838	21
839	10
840	3
841	6
842	1
843	8
844	2
845	1
846	21
847	1
848	4
849	26
850	6
851	2
852	6
853	8
854	2
855	88
856	32
857	2
858	85
859	2
860	1
861	1
862	1
863	2
864	2
865	1
866	1
867	1
868	24
869	1
870	1
871	1
872	1
873	1
874	1
875	1
876	1
877	51
878	2
879	1
880	1
881	2
882	2
883	2
884	20
885	1
886	23
887	2
888	3
889	1
890	11
891	1
892	1
893	1
894	1
895	8
896	2
897	5
898	5
899	1
900	2
901	2
902	1
903	5
904	1
905	1
906	1
907	4
908	30
909	1
910	23
911	1
912	2
913	2
914	19
915	3
916	107
917	6
918	6
919	115
920	1
921	1
922	2
923	1
924	1
925	3
926	3
927	20
928	3
929	3
930	1
931	1
932	1
933	192
934	3
935	3
936	1
937	5
938	5
939	101
940	50
941	24
942	8
943	8
944	2
945	1
946	1
947	123
948	2
949	1
950	1
951	1
952	49
953	1
954	1
955	1
956	2
957	50
958	1
959	12
960	1
961	1
962	9
963	9
964	1
965	5
966	5
967	1
968	2
969	2
970	102
971	107
972	1
973	1
974	1
975	1
976	1
977	278
978	2
979	4
980	36
981	1
982	1
983	26
984	1
985	1
986	11
987	1
988	1
989	5
990	2
991	27
992	1
993	2
994	1
995	1
996	1
997	1
998	1
999	1
1000	1
1001	1
1002	1
1003	1
1004	2
1005	1
1006	1
1007	2
1008	4
1009	27
1010	1
1011	3
1012	3
1013	3
1014	2
1015	3
1016	3
1017	22
1018	1
1019	1
1020	9
1021	1
1022	1
1023	13
1024	2
1025	2
1026	487
1027	15
1028	1
1029	1
1030	2
1031	1
1032	1
1033	1
1034	1
1035	4
1036	1
1037	41
1038	2
1039	1
1040	1
1041	3
1042	15
1043	78
1044	15
1045	35
1046	1
1047	1
1048	11
1049	4
1050	4
1051	4
1052	4
1053	7
1054	3
1055	1
1056	3
1057	3
1058	1
1059	3
1060	3
1061	1
1062	1
1063	1
1064	3
1065	2
1066	1
1067	3
1068	2
1069	1
1070	3
1071	1
1072	50
1073	5
1074	5
1075	15
1076	3
1077	46
1078	1
1079	1
1080	1
1081	1
1082	1
1083	1
1084	1
1085	2
1086	1
1087	1
1088	1
1089	2
1090	2
1091	1
1092	1
1093	1
1094	1
1095	1
1096	1
1097	1
1098	2
1099	2
1100	3
1101	1
1102	3
1103	3
1104	1
1105	1
1106	1
1107	45
1108	1
1109	1
1110	48
1111	1
1112	1
1113	1
1114	1
1115	1
1116	2
1117	2
1118	1
1119	16
1120	47
1121	423
1122	159
1123	1
1124	1
1125	1
1126	1
1127	1
1128	1
1129	1
1130	4
1131	2
1132	1
1133	1
1134	2
1135	1
1136	3
1137	2
1138	1
1139	1
1140	28
1141	399
1142	1
1143	2
1144	2
1145	4
1146	1
1147	2
1148	2
1149	37
1150	7
1151	1
1152	1
1153	1
1154	1
1155	2
1156	1
1157	1
1158	1
1159	1
1160	8
1161	8
1162	4
1163	2
1164	1
1165	3
1166	17
1167	27
1168	12
1169	1
1170	1
1171	20
1172	4
1173	21
1174	1
1175	1
1176	1
1177	1
1178	1
1179	2
1180	2
1181	2
1182	61
1183	2
1184	1
1185	1
1186	1
1187	3
1188	1
1189	1
1190	2
1191	1
1192	1
1193	1
1194	1
1195	1
1196	3
1197	3
1198	2
1199	2
1200	1
1201	3
1202	1
1203	1
1204	2
1205	1
1206	1
1207	1
1208	1
1209	4
1210	1
1211	1
1212	1
1213	1
1214	1
1215	8
1216	1
1217	2
1218	1
1219	1
1220	1
1221	1
1222	2
1223	1
1224	1
1225	2
1226	3
1227	2
1228	3
1229	3
1230	2
1231	1
1232	1
1233	1
1234	2
1235	2
1236	1
1237	1
1238	1
1239	1
1240	56
1241	5
1242	5
1243	1
1244	7
1245	7
1246	1
1247	3
1248	3
1249	7
1250	1
1251	1
1252	44
1253	3
1254	3
1255	1
1256	5
1257	5
1258	1
1259	4
1260	4
1261	1
1262	1
1263	1
1264	2
1265	2
1266	3
1267	1
1268	56
1269	1
1270	1
1271	6
1272	3
1273	4
1274	2
1275	1
1276	1
1277	1
1278	1
1279	1
1280	1
1281	3
1282	2
1283	59
1284	2
1285	3
1286	3
1287	2
1288	1
1289	2
1290	2
1291	1
1292	1
1293	1
1294	15
1295	1
1296	1
1297	19
1298	47
1299	1
1300	1
1301	150
1302	1
1303	11
1304	1
1305	2
1306	1
1307	6
1308	1
1309	2
1310	1
1311	2
1312	1
1313	2
1314	1
1315	4
1316	1
1317	2
1318	1
1319	1
1320	1
1321	2
1322	2
1323	2
1324	1
1325	1
1326	1
1327	11
1328	8
1329	2
1330	1
1331	5
1332	5
1333	11
1334	2
1335	1
1336	1
1337	1
1338	1
1339	1
1340	1
1341	2
1342	2
1343	1
1344	1
1345	1
1346	1
1347	3
1348	3
1349	2
1350	1
1351	1
1352	2
1353	1
1354	2
1355	2
1356	3
1357	3
1358	1
1359	1
1360	1
1361	1
1362	53
1363	1
1364	6
1365	1
1366	1
1367	3
1368	3
1369	5
1370	168
1371	138
1372	4
1373	2
1374	2
1375	1
1376	2
1377	2
1378	1
1379	2
1380	2
1381	1
1382	2
1383	2
1384	1
1385	2
1386	2
1387	1
1388	2
1389	2
1390	1
1391	2
1392	2
1393	1
1394	1
1395	1
1396	9
1397	2
1398	2
1399	2
1400	2
1401	2
1402	1
1403	2
1404	2
1405	1
1406	2
1407	2
1408	23
1409	8
1410	26
1411	2
1412	15
1413	1
1414	1
1415	1
1416	1
1417	1
1418	7
1419	1
1420	1
1421	1
1422	11
1423	1
1424	1
1425	1
1426	1
1427	1
1428	8
1429	2
1430	1
1431	46
1432	1
1433	1
1434	131
1435	22
1436	12
1437	5
1438	1
1439	1
1440	6
1441	6
1442	4
1443	15
1444	4
1445	1
1446	1
1447	4
1448	7
1449	7
1450	1
1451	4
1452	4
1453	1
1454	1
1455	1
1456	2
1457	1
1458	1
1459	1
1460	1
1461	1
1462	1
1463	1
1464	1
1465	1
1466	2
1467	2
1468	1
1469	1
1470	1
1471	1
1472	2
1473	2
1474	1
1475	3
1476	3
1477	27
1478	1
1479	4
1480	4
1481	4
1482	1
1483	2
1484	1
1485	1
1486	1
1487	3
1488	2
1489	1
1490	1
1491	2
1492	1
1493	5
1494	5
1495	1
1496	2
1497	2
1498	2
1499	2
1500	2
1501	1
1502	1
1503	3
1504	3
1505	3
1506	3
1507	1
1508	1
1509	19
1510	1
1511	2
1512	1
1513	3
1514	1
1515	3
1516	1
1517	5
1518	1
1519	1
1520	28
1521	1
1522	1
1523	1
1524	12
1525	5
1526	2
1527	2
1528	5
1529	1
1530	2
1531	7
1532	2
1533	1
1534	2
1535	2
1536	1
1537	29
1538	1
1539	1
1540	5
1541	1
1542	1
1543	4
1544	1
1545	2
1546	1
1547	1
1548	1
1549	1
1550	1
1551	1
1552	1
1553	3
1554	2
1555	1
1556	1
1557	2
1558	2
1559	2
1560	1
1561	3
1562	3
1563	42
1564	1
1565	1
1566	20
1567	32
1568	1
1569	1
1570	2
1571	2
1572	1
1573	8
1574	8
1575	1
1576	1
1577	1
1578	100
1579	67
1580	1
1581	1
1582	1
1583	2
1584	3
1585	1
1586	1
1587	2
1588	2
1589	2
1590	2
1591	1
1592	1
1593	9
1594	1
1595	1
1596	2
1597	4
1598	18
1599	25
1600	1
1601	1
1602	14
1603	3
1604	1
1605	1
1606	8
1607	9
1608	1
1609	2
1610	2
1611	1
1612	1
1613	1
1614	1
1615	1
1616	1
1617	1
1618	5
1619	5
1620	1
1621	1
1622	1
1623	2
1624	3
1625	5
1626	1
1627	4
1628	1
1629	3
1630	1
1631	4
1632	1
1633	7
1634	3
1635	142
1636	4
1637	1
1638	8
1639	8
1640	1
1641	2
1642	2
1643	1
1644	1
1645	3
1646	1
1647	3
1648	9
1649	1
1650	1
1651	5
1652	1
1653	1
1654	4
1655	1
1656	1
1657	1
1658	2
1659	2
1660	1
1661	1
1662	1
1663	1
1664	1
1665	2
1666	1
1667	1
1668	1
1669	1
1670	1
1671	1
1672	1
1673	2
1674	11
1675	2
1676	1
1677	1
1678	1
1679	3
1680	1
1681	1
1682	16
1683	1
1684	1
1685	80
1686	1
1687	1
1688	21
1689	5
1690	12
1691	3
1692	1
1693	155
1694	316
1695	5
1696	115
1697	2
1698	2
1699	1
1700	1
1701	1
1702	1
1703	1
1704	1
1705	13
1706	2
1707	2
1708	1
1709	2
1710	2
1711	28
1712	2
1713	2
1714	1
1715	14
1716	1
1717	2
1718	4
1719	2
1720	2
1721	1
1722	2
1723	2
1724	1
1725	1
1726	1
1727	1
1728	1
1729	2
1730	1
1731	1
1732	1
1733	1
1734	3
1735	1
1736	3
1737	1
1738	4
1739	4
1740	22
1741	2
1742	1
1743	1
1744	62
1745	31
1746	32
1747	37
1748	62
1749	1
1750	1
1751	1
1752	2
1753	62
1754	77
1755	3
1756	1
1757	2
1758	1
1759	2
1760	6
1761	6
1762	2
1763	3
1764	3
1765	1
1766	1
1767	1
1768	1
1769	3
1770	3
1771	1
1772	1
1773	1
1774	2
1775	3
1776	3
1777	15
1778	1
1779	1
1780	1
1781	1
1782	1
1783	1
1784	1
1785	1
1786	2
1787	2
1788	2
1789	1
1790	1
1791	1
1792	1
1793	1
1794	2
1795	1
1796	1
1797	2
1798	2
1799	1
1800	1
1801	30
1802	1
1803	1
1804	1
1805	2
1806	2
1807	1
1808	1
1809	1
1810	46
1811	38
1812	4
1813	1
1814	1
1815	5
1816	1
1817	1
1818	2
1819	1
1820	1
1821	1
1822	5
1823	5
1824	1
1825	1
1826	1
1827	28
1828	1
1829	1
1830	62
1831	1
1832	1
1833	19
1834	1
1835	1
1836	39
1837	1
1838	1
1839	3
1840	1
1841	1
1842	1
1843	28
1844	1
1845	1
1846	37
1847	16
1848	1
1849	1
1850	5
1851	1
1852	1
1853	25
1854	1
1855	1
1856	22
1857	309
1858	1
1859	2
1860	7
1861	1
1862	1
1863	1
1864	1
1865	2
1866	1
1867	3
1868	20
1869	1
1870	2
1871	2
1872	6
1873	3
1874	24
1875	3
1876	3
1877	1
1878	1
1879	1
1880	1
1881	2
1882	1
1883	9
1884	20
1885	1
1886	2
1887	1
1888	17
1889	5
1890	40
1891	1
1892	2
1893	3
1894	3
1895	1
1896	5
1897	5
1898	1
1899	2
1900	2
1901	1
1902	2
1903	2
1904	1
1905	1
1906	1
1907	38
1908	1
1909	1
1910	23
1911	3
1912	3
1913	1
1914	2
1915	2
1916	3
1917	2
1918	42
1919	2
1920	1
1921	1
1922	1
1923	2
1924	1
1925	1
1926	1
1927	1
1928	1
1929	1
1930	12
1931	1
1932	1
1933	48
1934	212
1935	18
1936	1019
1937	151
1938	16
1939	20
1940	27
1941	1
1942	1
1943	48
1944	1
1945	1
1946	3
1947	3
1948	1
1949	2
1950	2
1951	2
1952	1
1953	1
1954	2
1955	5
1956	5
1957	1
1958	1
1959	10
1960	1
