idx	X	Y	component
0	1000	2536.248679293743	0
1	1021.223840773657	2522.172055220251	0
2	1021.223840774246	2522.172055219442	0
3	1021.498396160026	2521.71189532164	0
4	1021.501485822449	2521.709622904484	0
5	1022.134375221013	2520.819280288063	0
6	1022.106154351804	2520.836865810915	0
7	1024.544118961759	2518.85816166733	0
8	1022.131392194846	2520.821373432217	0
9	1024.562446422965	2518.854989784069	0
10	1024.560607531399	2518.855185790538	0
11	1025.469285325275	2518.362119106852	0
12	1025.468110709369	2518.361221089912	0
13	1027.180821330689	2517.256958801815	0
14	1025.469299529945	2518.362209093893	0
15	1027.212905310285	2517.255340540425	0
16	1027.21264404153	2517.255308092521	0
17	1057.199697401668	2509.133030259085	0
18	1057.140381382032	2509.152203224607	0
19	1057.198254222757	2509.132937608749	0
20	1057.200254854816	2509.132506492052	0
21	1059.176688610514	2508.371014661971	0
22	1059.169774715027	2508.37210248536	0
23	1060.185760435141	2508.098703225875	0
24	1059.122521407221	2508.380865272658	0
25	1065.217389957541	2506.694857123276	0
26	1059.176708019564	2508.371009546049	0
27	1060.182692346084	2508.099324558529	0
28	1060.182870184244	2508.099275171947	0
29	1065.244946495168	2506.688395992873	0
30	1065.242363596624	2506.68903693969	0
31	1066.213481734796	2506.361578046595	0
32	1066.218544158092	2506.360529052567	0
33	1072.304462449758	2504.857050804196	0
34	1066.213481735776	2506.361578046395	0
35	1072.319106978417	2504.852100489118	0
36	1072.32353838632	2504.851214045325	0
37	1073.32515877182	2504.501354371686	0
38	1073.321517865006	2504.50148223017	0
39	1074.307046655397	2504.127866771176	0
40	1073.322241741793	2504.501686062077	0
41	1074.308376832953	2504.128180538424	0
42	1074.285231301241	2504.128413661919	0
43	1079.420909324311	2502.959378142166	0
44	1074.305401387581	2504.128106397835	0
45	1079.425786353308	2502.958082622352	0
46	1079.424893831728	2502.958018887321	0
47	1080.452971255791	2502.638516227466	0
48	1080.430749653461	2502.642097255773	0
49	1081.462462633522	2502.329334594921	0
50	1080.454529438932	2502.63826329897	0
51	1081.463238535215	2502.330495950656	0
52	1081.460091081962	2502.331126324287	0
53	1107.701661467281	2496.994315958493	0
54	1107.680278267217	2496.997392231	0
55	1107.71642964468	2496.993214405963	0
56	1107.701954237237	2496.994253419895	0
57	1113.129873175268	2495.944719971302	0
58	1113.093360597448	2495.951430407255	0
59	1117.342504517814	2495.134079991481	0
60	1113.128814321536	2495.944966614436	0
61	1117.360691210658	2495.130172727437	0
62	1117.364063994855	2495.129219484823	0
63	1118.403566907171	2494.881090061107	0
64	1118.354810409681	2494.888518584622	0
65	1121.620519195721	2494.219781384154	0
66	1118.400423694146	2494.881261303243	0
67	1121.642325838629	2494.218107112819	0
68	1121.641361360276	2494.21821011805	0
69	1156.16963375256	2488.934480605716	0
70	1156.048534249637	2488.95656273698	0
71	1157.252074789112	2488.827101436133	0
72	1156.171002678228	2488.934306070475	0
73	1157.261440519484	2488.823631481394	0
74	1157.258299713126	2488.824578498021	0
75	1192.251467822981	2482.837209747614	0
76	1192.258519890649	2482.844099591772	0
77	1193.096688832703	2482.862500398498	0
78	1192.251467823963	2482.83720974743	0
79	1193.195425693529	2482.845344213973	0
80	1193.195557510415	2482.845298174147	0
81	1423.809126188809	2436.180852446166	0
82	1423.808483253979	2436.180982543413	0
83	1424.75082935962	2436.003252535778	0
84	1424.757235736996	2436.001975562885	0
85	1431.457663574691	2434.648931283535	0
86	1424.696086087109	2436.013023025743	0
87	1431.447152322473	2434.650194020746	0
88	1431.466806725457	2434.647351191451	0
89	1444.09635218864	2432.911726137259	0
90	1444.027657981594	2433.002078568425	0
91	1444.214095939361	2432.834234591673	0
92	1444.094951562573	2432.91118616152	0
93	1444.292235631363	2432.839994331222	0
